pH,DO,COD,BOD,Total photosynthetic pigments,Dry cell weight,protein(%),lipid(%),H(%),O(%)
-0.4089529115987874,-0.9209798231307944,-0.47482584784041937,1.6056260679613834,0.05208474974492525,-0.7370080333385316,1.594492633119904,13.12245895,-0.689602779287653,1.3938231633290605
0.3400967857072242,0.046906704167544465,-0.5169665415408309,-0.6054428249383899,-0.9465198589511501,-0.8969190822775021,-0.6579186732597654,1.424,1.0766002743177507,-0.5661473700619025
-0.6681596522219146,0.021833551198571458,-0.7476682206332422,-0.7960011700930493,0.3699528345914514,1.1270952149891869,-0.48786798643931556,0.165096233,-1.1771527501732229,-0.3199495078440296
-0.4610280403649838,-0.9619460929000828,-0.4922613869930091,1.5751834263631976,-0.12078846881581003,-0.6488214657294598,1.67327174047148,13.12245895,-0.658081038434812,1.3596763615984706
1.6109943253226153,-0.7385136185979471,1.1428096045755505,0.6047108733200239,0.8039126552605417,0.1824459863710196,-0.7313278389292113,1.215,0.5430627555092828,-0.19140191437965734
-0.541566635764235,0.0005288665655254752,-0.6976025841448222,-0.6725236830239633,0.007789555337368284,1.2053472092113737,-0.5068777190291472,0.165096233,-1.155774723604266,-0.5434677658824445
-0.7444892879414868,-0.5233244028954447,-0.23907397684852472,-0.8430011663737997,-1.16251047350457,-0.6426201416129791,-0.6891634318237969,4.241,0.20146397303376962,-0.7089031277336074
0.15643323017077526,-0.293146703628915,1.8051312640984425,-0.823763676350844,-1.3064085993123582,-1.7333030199263537,-0.3215975358629047,1.898,-2.1891945248369558,-0.9345616219690179
-0.8631838411073195,-0.969514191892675,-0.9312679616341171,-0.9209110202406697,1.7186440121639996,1.051672486638723,-0.6540806496763821,3.988,1.2412506836250035,-1.3326061585567106
1.076530260344157,0.841258455913618,1.8051312640984425,0.36192933500491026,-1.1071184214772387,-1.0942039787733084,-1.041966923169464,12.859,-0.13594682579454606,1.7851737744360525
-0.5692515964300399,-0.8825289378766122,-1.494177160477416,-0.6192269005088846,-1.1812609321174443,-0.5139575499031701,0.9515194822615322,13.54468891,0.5225945737480201,1.6200143494255848
1.5342798517206753,-0.9204226276381335,1.2388902442600342,0.7125581225290476,0.6423181146545592,0.28982533437985547,-0.7973208071024455,1.215,0.6151317267486844,-0.06774415184901224
0.5208496935482333,0.5770592230484158,-1.2881838048199068,-0.6384940278786727,1.3359372856945302,-0.3188469654380843,1.9313268856594525,2.427192887,-0.347470548645515,1.1119331967586117
